#,大分類,中分類,小分類,説明,ファイル/参照,状態,Phase,備考
1,システム全体像,,,Next.js 16 + Supabase + Render + Cloudflare のアーキテクチャ構成,,完了,1,
2,システム全体像,フロントエンド,,Next.js 16 App Router + proxy.ts認証ガード + (public)/(auth)ルートグループ,,完了,1,
3,システム全体像,フロントエンド,RootLayout,Inter+Noto Sans JP/metadata/Toaster,src/app/layout.tsx,完了,1,
4,システム全体像,フロントエンド,PublicLayout,ヘッダー(ロゴ+ログイン/登録)+フッター(利用規約/プライバシー),src/app/(public)/layout.tsx,完了,1,
5,システム全体像,フロントエンド,AuthLayout,SupabaseProvider+QueryProvider+Header+Sidebar+ProfileModal,src/app/(auth)/layout.tsx,完了,1,
6,システム全体像,フロントエンド,proxy.ts,認証ガード publicPaths判定→未認証リダイレクト→認証済み/login→dashboard,src/proxy.ts,完了,1,
7,システム全体像,フロントエンド,Header,ロゴ+通知ベル(未読バッジ)+ユーザーメニュー+モバイルSheet(base-ui render prop),src/components/layouts/header.tsx,完了,1,
8,システム全体像,フロントエンド,Sidebar,6項目ナビ(Dashboard/Matching/Members/Connections/Notifications/Settings),src/components/layouts/sidebar.tsx,完了,1,
9,システム全体像,バックエンド,,API Routes (/api/v1/*) + withAuth()認証 + RLS付きクエリ,,完了,1,
10,システム全体像,バックエンド,withAuth,Supabase getUser()サーバー検証+SupabaseClient返却,src/lib/api-helpers.ts,完了,1,
11,システム全体像,バックエンド,handleApiError,ApiError→適切なステータス+PostgreSQL 23505→409 CONFLICT変換,src/lib/api-helpers.ts,完了,1,
12,システム全体像,バックエンド,apiClient,fetch wrapper+ApiResponse<T>パース+エラーthrow,src/lib/api-client.ts,完了,1,
13,システム全体像,バックエンド,sanitize,PostgRESTフィルタ値サニタイズ+UUID形式バリデーション,src/lib/sanitize.ts,完了,1,
14,システム全体像,データベース,,Supabase PostgreSQL + Auth + Realtime + Storage,,完了,1,
15,システム全体像,データベース,Supabaseクライアント(browser),createBrowserClient+Database型,src/lib/supabase/client.ts,完了,1,
16,システム全体像,データベース,Supabaseクライアント(server),createServerClient+Cookie管理+createServiceClient(service_role),src/lib/supabase/server.ts,完了,1,
17,システム全体像,データベース,Supabaseミドルウェア,セッション更新+publicPaths判定+リダイレクト制御,src/lib/supabase/middleware.ts,完了,1,
18,システム全体像,データベース,マイグレーション初期,16テーブル+15インデックス+6関数+7トリガー+RLS+Storage+Seed,supabase/migrations/00001_initial_schema.sql,完了,1,
19,システム全体像,データベース,マイグレーションv3,matching_scores_v3+job_queue+transcript_insights JSONB化+prompt v2.0.0,supabase/migrations/00002_scoring_v3.sql,完了,1,
20,システム全体像,ワーカー,,Render Worker(常駐) + Cron(JST 9/12/15/18),,設計完了,2,Worker実装はPhase 2
21,システム全体像,外部サービス,,tl;dv API + Claude Sonnet 4.6 + Facebook OAuth,,設計完了,1-2,tl;dv/Claude接続はPhase 2
22,双方向スコアリング,,,2軸モデル + カテゴリタグ + ベイズshrinkage + 段階的開示,,完了,1,
23,双方向スコアリング,モデル設計,,2軸(value_fit 60% + relational_quality 40%) 旧5軸から9エージェント分析で移行,,完了,1,
24,双方向スコアリング,モデル設計,2軸定義,value_fit=ニーズ充足+スキル補完 relational_quality=コミュ相性+交流深さ,ARCHITECTURE.md §2.2,完了,1,
25,双方向スコアリング,モデル設計,非対称性,value_fit/engagement=非対称(viewer↔targetで異なる) comm/history=対称,ARCHITECTURE.md §2.2,完了,1,A→BとB→Aでスコアが異なる
26,双方向スコアリング,カテゴリタクソノミー,,12大カテゴリ×38サブ=50種 Claude抽出時に付与 追加コスト+$1/月,,設計完了,2,Claude分析時に適用
27,双方向スコアリング,カテゴリタクソノミー,12大カテゴリ,sales/marketing/technology/finance/hr/legal/operations/strategy/design/industry/leadership/other,ARCHITECTURE.md §2.3,設計完了,2,
28,双方向スコアリング,カテゴリタクソノミー,38サブカテゴリ,各大カテゴリに3-5種のサブカテゴリ(例: marketing→digital_marketing/branding/content/analytics),ARCHITECTURE.md §2.3,設計完了,2,
29,双方向スコアリング,カテゴリタクソノミー,マッチ計算,完全一致=1.0/大カテゴリ一致=0.5/不一致=0.0 ×頻度重み×時間減衰×confidence,ARCHITECTURE.md §2.3,設計完了,2,
30,双方向スコアリング,スコア計算,,Phase判定→属性スコア→(AIスコア)→shrinkage→alpha混合→理由生成,,完了,1,
31,双方向スコアリング,スコア計算,Phase判定,count=0→attribute_only(α=0) / 1-4→hybrid(α=0.2×count) / 5+→ai_primary(α=0.85),src/lib/matching/score-compute.ts,完了,1,min(viewer.count target.count)で判定
32,双方向スコアリング,スコア計算,属性スコア,industryAffinity+roleComplement+bioKeywordOverlap bio空時動的重み(50/50/0),src/lib/matching/attribute-score.ts,完了,1,
33,双方向スコアリング,スコア計算,shrinkage,attribute_onlyではshrinkage迂回 hybrid/ai_primaryではAIスコアのみshrinkage適用,src/lib/matching/score-compute.ts,完了,1,v3で修正:属性スコアを潰さない
34,双方向スコアリング,スコア計算,双方向compute,viewer→target + target→viewer を同時計算してUPSERT,src/app/api/v1/matching/compute/route.ts,完了,1,v8で修正:新規ユーザー非対称性解消
35,双方向スコアリング,スコア計算,レート制限,直近5分以内に計算済みなら早期リターン(API連打防止),src/app/api/v1/matching/compute/route.ts,完了,1,v7で追加
36,双方向スコアリング,属性ベース,,業種隣接16種+職種補完12種+bioキーワード12カテゴリ,,完了,1,コールドスタート用
37,双方向スコアリング,属性ベース,業種隣接マップ,16業種間の親和度(同一=1.0/高隣接=0.7/中=0.5/低=0.15/その他=0.25),src/lib/matching/attribute-score.ts,完了,1,仮説値 Phase 2でデータ駆動調整
38,双方向スコアリング,属性ベース,職種補完性,14パターン正規表現→12職種間の補完マトリクス(CTO↔Sales=1.0/PM↔Engineer=0.9等),src/lib/matching/attribute-score.ts,完了,1,v5で欠落修正済み
39,双方向スコアリング,属性ベース,bioキーワード,12カテゴリ辞書(startup/ai_ml/saas/dx/global/investment/growth/product/data/hr_org/marketing/sales_biz),src/lib/matching/attribute-score.ts,完了,1,形態素解析不要
40,双方向スコアリング,通知tier,,high/medium/low の3段階通知制御,,完了,1,
41,双方向スコアリング,通知tier,判定ロジック,total≥0.75+conf≥0.6→high / total≥0.60+conf≥0.4→medium / total≥0.50→low,src/lib/matching/score-compute.ts,完了,1,
42,双方向スコアリング,通知tier,相互判定,双方のtierの低い方を採用 high→Realtime push medium→DB通知 low→一覧のみ,ARCHITECTURE.md §2.7,完了,1,
43,おすすめ理由テキストエンジン,,,22テンプレート4Tier + バッチ重複抑制 + フォールバック,,完了,1,
44,おすすめ理由テキストエンジン,Tier 1,,属性ベース理由(7種) priority 8-30,,完了,1,attribute_onlyで使用
45,おすすめ理由テキストエンジン,Tier 1,a01 同業種,「{industry}で活躍されている方です」,src/lib/matching/reason-templates.ts,完了,1,priority 30
46,おすすめ理由テキストエンジン,Tier 1,a02 異業種,「{industry}の知見を持つ方。異業種の視点が得られそうです」,src/lib/matching/reason-templates.ts,完了,1,priority 28
47,おすすめ理由テキストエンジン,Tier 1,a03 同職種,「同じ{position}のポジション。共通の悩みを話し合えるかもしれません」,src/lib/matching/reason-templates.ts,完了,1,priority 25
48,おすすめ理由テキストエンジン,Tier 1,a04 異職種,「{position}として活動中。あなたの仕事と補い合える関係です」,src/lib/matching/reason-templates.ts,完了,1,priority 20
49,おすすめ理由テキストエンジン,Tier 1,a05 bioキーワード,「プロフィールに『{keyword}』という共通テーマがあります」,src/lib/matching/reason-templates.ts,完了,1,priority 22+重複数
50,おすすめ理由テキストエンジン,Tier 1,a06 会社名,「{company}での経験をお持ちの方です」,src/lib/matching/reason-templates.ts,完了,1,priority 10
51,おすすめ理由テキストエンジン,Tier 1,a07 bio充実,「幅広い経歴をお持ちの方。新たな視点が得られそうです」,src/lib/matching/reason-templates.ts,完了,1,priority 8
52,おすすめ理由テキストエンジン,Tier 2,,カテゴリマッチ理由(5種) priority 32-60,,完了,1,hybrid以降で使用
53,おすすめ理由テキストエンジン,Tier 2,c01 needs∩skills,「あなたが求めている『{need}』に関連するスキルをお持ちです」,src/lib/matching/reason-templates.ts,完了,1,priority 60
54,おすすめ理由テキストエンジン,Tier 2,c02 offerings,「『{offering}』を提供できる方。あなたの活動の力になりそうです」,src/lib/matching/reason-templates.ts,完了,1,priority 50
55,おすすめ理由テキストエンジン,Tier 2,c03 skills重複,「『{skill}』という共通の得意分野があります。話が弾みそうです」,src/lib/matching/reason-templates.ts,完了,1,priority 48
56,おすすめ理由テキストエンジン,Tier 2,c04 多彩スキル,「多彩なスキルセットの持ち主。意外なコラボの可能性を秘めています」,src/lib/matching/reason-templates.ts,完了,1,priority 35 confidence≥0.3
57,おすすめ理由テキストエンジン,Tier 2,c05 活発活動,「コミュニティで積極的に活動されている方です」,src/lib/matching/reason-templates.ts,完了,1,priority 32 confidence≥0.28
58,おすすめ理由テキストエンジン,Tier 3,,AI 2軸理由(6種) priority 52-80 全てconfidence≥0.3ガード,,完了,1,v3で誤発火修正済み
59,おすすめ理由テキストエンジン,Tier 3,ai01 高value_fit,「あなたのニーズと相手の強みが高い確度で一致しています」,src/lib/matching/reason-templates.ts,完了,1,vf≥0.70 priority 70+
60,おすすめ理由テキストエンジン,Tier 3,ai02 中value_fit,「スキルの組み合わせに相乗効果がありそうです」,src/lib/matching/reason-templates.ts,完了,1,vf≥0.60 priority 62+
61,おすすめ理由テキストエンジン,Tier 3,ai03 高relational,「コミュニケーションのスタイルが近く、打ち解けやすい相手です」,src/lib/matching/reason-templates.ts,完了,1,rq≥0.70 priority 65+
62,おすすめ理由テキストエンジン,Tier 3,ai04 具体マッチ,「あなたの課題『{need}』に対して『{offering}』という解決策を持つ方です」,src/lib/matching/reason-templates.ts,完了,1,needs∩offerings priority 75
63,おすすめ理由テキストエンジン,Tier 3,ai05 engagement,「会話の深まりが期待できる組み合わせです」,src/lib/matching/reason-templates.ts,完了,1,rq≥0.60 priority 55
64,おすすめ理由テキストエンジン,Tier 3,ai06 バランス,「ニーズとスキルの双方でバランスよく噛み合っています」,src/lib/matching/reason-templates.ts,完了,1,vf≥0.50+rq≥0.50 priority 52
65,おすすめ理由テキストエンジン,Tier 4,,関係性実績理由(4種) priority 78-95,,完了,1,tl;dv分析後に使用
66,おすすめ理由テキストエンジン,Tier 4,r01 会議≥3回,「{count}回の会議を通じて、深い信頼関係が築かれています」,src/lib/matching/reason-templates.ts,完了,1,priority 90+count
67,おすすめ理由テキストエンジン,Tier 4,r02 会議≥1回,「過去に同じ場で話した経験があり、次の対話がさらに実りあるものに」,src/lib/matching/reason-templates.ts,完了,1,priority 80
68,おすすめ理由テキストエンジン,Tier 4,r03 交流パターン,「これまでの交流パターンから、相性の良さがうかがえます」,src/lib/matching/reason-templates.ts,完了,1,rq≥0.60+会議≥1 priority 78
69,おすすめ理由テキストエンジン,Tier 4,r04 テンポ,「会話のテンポが合う方。議論が自然に深まる関係です」,src/lib/matching/reason-templates.ts,完了,1,rq≥0.80+会議≥2 priority 85
70,おすすめ理由テキストエンジン,選択ロジック,,priority降順→最大3件→バッチ内重複抑制,,完了,1,
71,おすすめ理由テキストエンジン,選択ロジック,priority順位,Tier4(78-95) > Tier3(52-80) > Tier2(32-60) > Tier1(8-30),src/lib/matching/reason-templates.ts,完了,1,
72,おすすめ理由テキストエンジン,選択ロジック,重複抑制,usedTemplateIds(Set)でバッチ内同一ID最大3回,src/lib/matching/reason-templates.ts,完了,1,
73,おすすめ理由テキストエンジン,選択ロジック,フォールバック,0件時target.idハッシュで3種のデフォルト文から決定論的選択,src/lib/matching/reason-templates.ts,完了,1,
74,おすすめ理由テキストエンジン,文体ガイドライン,,AIっぽさゼロ 禁止:分析の結果/データに基づき/スコアが高い/AIが判断,ARCHITECTURE.md §3.1,完了,1,
75,パイプライン,,,Cron→Worker→analyze→aggregate→score→notify のジョブチェーン,,設計完了,2,Worker実装はPhase 2
76,パイプライン,ジョブキュー,,PostgreSQL SELECT FOR UPDATE SKIP LOCKED 4タイプ,,完了,2,テーブル定義済み
77,パイプライン,ジョブキュー,テーブル設計,job_queue(type ENUM/status ENUM/payload JSONB/priority/attempts/locked_at/locked_by),supabase/migrations/00002_scoring_v3.sql,完了,2,
78,パイプライン,ジョブキュー,ポーリング,SELECT FOR UPDATE SKIP LOCKED 5秒間隔 priority DESC,ARCHITECTURE.md §4.2,設計完了,2,
79,パイプライン,ジョブキュー,リトライ,指数バックオフ 30s/120s/480s max3回超過→dead,ARCHITECTURE.md §4.2,設計完了,2,
80,パイプライン,ジョブキュー,ロックタイムアウト,5分超でstale lock自動解放 Worker起動時にリカバリ,ARCHITECTURE.md §4.2,設計完了,2,
81,パイプライン,tl;dv取得,,Cron→ポーリング→transcripts保存→スピーカー紐付け,,設計完了,2,
82,パイプライン,tl;dv取得,Cronポーリング,JST 9/12/15/18 新規meeting検出→transcripts UPSERT(status遷移),ARCHITECTURE.md §4.1,設計完了,2,
83,パイプライン,tl;dv取得,スピーカー紐付け,4段階: ①メール直接②正規化名前③姓部分一致④過去リンク履歴,ARCHITECTURE.md §4.1,設計完了,2,
84,パイプライン,Claude分析,,transcript_insights抽出+カテゴリタグ付与+Zodバリデーション,,設計完了,2,
85,パイプライン,Claude分析,プロンプトv2.0.0,skills/needs(カテゴリタグ付)/offerings(カテゴリタグ付)/comm_traits/engagement,supabase/migrations/00002_scoring_v3.sql,完了,2,DB登録済み
86,パイプライン,Claude分析,Zodバリデーション,InsightSchema+TaggedItemLenient(不正カテゴリ→otherフォールバック),ARCHITECTURE.md §4,設計完了,2,
87,パイプライン,スコアリングバッチ,,is_stale差分→500件/batch→双方向compute→相互マッチ判定,,完了,1,compute API実装済み
88,パイプライン,コスト管理,,月次予算管理+レート制限,,完了,1,
89,パイプライン,コスト管理,月額見積もり,100人~$4 / 500人~$22 / 1000人~$44 (transcript分析+カテゴリタグ),ARCHITECTURE.md §4.3,確定,1,
90,パイプライン,コスト管理,上限ガード,月次analyze完了件数カウント→閾値超過で新規ジョブ停止,ARCHITECTURE.md §4.2,設計完了,2,
91,DBスキーマ,,,16テーブル + matching_scores_v3 + job_queue + RLS + Storage,,完了,1,
92,DBスキーマ,コアテーブル,,user_profiles/connections/notifications/settings,,完了,1,
93,DBスキーマ,コアテーブル,user_profiles,id(auth.users FK CASCADE)/name/email/company/position/industry/bio/avatar_url/cover_url/contact_info/is_admin/is_active,supabase/migrations/00001,完了,1,
