#,大分類,中分類,小分類,説明,ファイル/参照,状態,Phase,備考
94,DBスキーマ,コアテーブル,connections,user_id/connected_user_id/status(7種CHECK: pending~reaccepted)/UNIQUE,supabase/migrations/00001,完了,1,
95,DBスキーマ,コアテーブル,notifications,user_id/type(notification_type ENUM 6種)/title/message/link/actions(JSONB)/is_read,supabase/migrations/00001,完了,1,
96,DBスキーマ,コアテーブル,settings,user_id(UNIQUE)/theme(light/dark/system)/notifications_enabled,supabase/migrations/00001,完了,1,
97,DBスキーマ,マッチングテーブル,,matching_scores_v3/mutual_match_notifications/match_requests/match_connections,,完了,1,
98,DBスキーマ,マッチングテーブル,matching_scores_v3,viewer_id/target_id(UNIQUE)/value_fit/relational_quality/total_score/confidence/phase/score_reasons(JSONB)/notify_tier/is_stale,supabase/migrations/00002,完了,1,v2から移行
99,DBスキーマ,マッチングテーブル,mutual_match_notifications,user_a_id/user_b_id(UNIQUE)/notified_at 通知重複防止,supabase/migrations/00001,完了,1,
100,DBスキーマ,AI分析テーブル,,meeting_transcripts/meeting_participants/transcript_insights/member_ai_profiles_v2,,完了,1,
101,DBスキーマ,AI分析テーブル,meeting_transcripts,tldv_meeting_id(UNIQUE)/title/meeting_date/full_text/status(6種CHECK)/meeting_type(5種)/error_message,supabase/migrations/00001+00002,完了,1,
102,DBスキーマ,AI分析テーブル,meeting_participants,transcript_id(FK)/user_id(FK nullable)/speaker_name/email/speaking_ratio/is_linked/linked_method(5種CHECK),supabase/migrations/00001,完了,1,
103,DBスキーマ,AI分析テーブル,transcript_insights,transcript_id/participant_id(FK)/skills(TEXT[])/needs(JSONB[])/offerings(JSONB[])/comm_traits(JSONB)/engagement(JSONB)/confidence_score,supabase/migrations/00001+00002,完了,1,v2でJSONB[]化
104,DBスキーマ,AI分析テーブル,member_ai_profiles_v2,user_id(UNIQUE FK)/aggregated_skills/needs/offerings(JSONB[])/communication_profile(JSONB)/analysis_count/last_analyzed_at,supabase/migrations/00001,完了,1,
105,DBスキーマ,補助テーブル,,job_queue/bookmarks/profile_views/prompt_versions/login_sessions,,完了,1,
106,DBスキーマ,補助テーブル,job_queue,type(ENUM 4種)/status(ENUM 5種)/payload(JSONB)/priority/attempts/max_attempts/locked_at/locked_by,supabase/migrations/00002,完了,2,
107,DBスキーマ,補助テーブル,bookmarks,user_id/bookmarked_user_id(UNIQUE)/note,supabase/migrations/00001,完了,1,
108,DBスキーマ,補助テーブル,profile_views,viewer_id/viewed_user_id/view_duration/viewed_at,supabase/migrations/00001,完了,1,
109,DBスキーマ,補助テーブル,prompt_versions,name/version(UNIQUE)/template(TEXT)/is_active v1.0.0(旧)+v2.0.0(カテゴリタグ対応),supabase/migrations/00001+00002,完了,1,
110,DBスキーマ,補助テーブル,login_sessions,user_id(FK)/device/browser/ip_address(INET),supabase/migrations/00001,完了,1,
111,DBスキーマ,RLS,,6パターン 全テーブルRLS有効化,,完了,1,
112,DBスキーマ,RLS,パターン1 自己データ,user_profiles/settings/bookmarks/notifications WHERE auth.uid()=id,supabase/migrations/00001,完了,1,
113,DBスキーマ,RLS,パターン2 認証閲覧,profiles(active)/connections(参加者)/scores_v3(viewer)/ai_profiles/transcripts/participants,supabase/migrations/00001+00002,完了,1,
114,DBスキーマ,RLS,パターン3 管理者,user_profiles/transcripts/prompt_versions FOR ALL WHERE is_admin=true,supabase/migrations/00001,完了,1,
115,DBスキーマ,RLS,パターン4-5 公開+書込,prompt_versions公開読取/connections INSERT/profile_views INSERT/match_requests INSERT,supabase/migrations/00001,完了,1,
116,DBスキーマ,関数・トリガー,,6関数+7トリガー,,完了,1,
117,DBスキーマ,関数・トリガー,handle_new_user,auth.users INSERT→user_profiles(name/email/company/position/industry/bio)+settings自動作成,supabase/migrations/00001,完了,1,signUpのmeta_dataから取得
118,DBスキーマ,関数・トリガー,update_updated_at,汎用updated_at自動更新(user_profiles/connections/settings/member_ai_profiles_v2),supabase/migrations/00001,完了,1,4テーブルにトリガー
119,DBスキーマ,関数・トリガー,protect_admin,is_admin/is_active変更をservice_roleのみに制限,supabase/migrations/00001,完了,1,
120,DBスキーマ,関数・トリガー,mark_cache_stale,user_profiles UPDATE→matching_scores_v3のis_stale=trueに更新(既にstaleは除外),supabase/migrations/00002,完了,1,WAL節約
121,DBスキーマ,関数・トリガー,get_public_ai_profiles,AI profiles取得(aggregated_needsを除外=プライバシー保護),supabase/migrations/00001,完了,1,
122,DBスキーマ,関数・トリガー,purge_ai_data_on_delete,退会時 insights/ai_profiles/scores削除+participants user_id切断,supabase/migrations/00001,完了,1,
123,DBスキーマ,Storage,,avatars + covers バケット,,完了,1,
124,DBスキーマ,Storage,avatars,公開読取/認証書込/ユーザー別フォルダ/2MB/image/* (jpeg/png/webp/gif),supabase/migrations/00001,完了,1,
125,DBスキーマ,Storage,covers,公開読取/認証書込/ユーザー別フォルダ/5MB/image/* (jpeg/png/webp),supabase/migrations/00001,完了,1,
126,ユーザー体験,,,Day1属性ベース→Day7カテゴリタグ→Day30 2軸→Day90詳細開示,,完了,1,
127,ユーザー体験,Day 1,,登録→compute→おすすめ→申請→承認→contact_info交換 の全フロー,,完了,1,
128,ユーザー体験,Day 1,ホームページ,ヒーロー(キャッチコピー)+特徴3つ(非対称レイアウト Brain/Users/Shield)+CTA2つ,src/app/(public)/page.tsx,完了,1,
129,ユーザー体験,Day 1,登録フォーム,name*/email*/pw*/company/position/industry*(Select 16業種)/bio(textarea 動機付けplaceholder)/利用規約同意*,src/components/features/auth/register-form.tsx,完了,1,zodResolver使用
130,ユーザー体験,Day 1,メール確認,?confirmed=true→緑バナー「確認メールを送信しました」 ?error=auth→赤バナー,src/app/(public)/login/page.tsx,完了,1,v4で追加
131,ユーザー体験,Day 1,ダッシュボード,実データスタッツ4カード(リンク付き)+おすすめTop3(理由テキスト)+新着メンバー(直近7日)+tl;dv CTA+双方向compute自動,src/app/(auth)/dashboard/page.tsx,完了,1,v3+v8で大幅改善
132,ユーザー体験,Day 1,マッチング,2軸理由テキスト中心+conf≥0.5で言語ラベルバー+接続済みBadge+disabled申請ボタン+tl;dv CTA+min_score 0.35,src/app/(auth)/matching/page.tsx,完了,1,v1-v6で段階的改善
133,ユーザー体験,Day 1,メンバー,検索(デバウンス)+横スクロール業種フィルタ+カード(ブックマーク状態fill反映+UserPlus申請)+ページネーション,src/app/(auth)/members/page.tsx,完了,1,v4+v6で改善
134,ユーザー体験,Day 1,ProfileModal,プロフィール+理由テキスト(matchScore.reasons)+スコアバー(conf≥0.5)+接続済みガード+ブックマーク状態反映,src/components/features/profile/profile-modal.tsx,完了,1,v1で新規作成 v6で状態反映追加
135,ユーザー体験,Day 1,コネクション,タブ3種(全て/承認待ち/送信済み)+承認/拒否ボタン+方向チェック+状態遷移バリデーション,src/app/(auth)/connections/page.tsx,完了,1,
136,ユーザー体験,Day 1,通知,link遷移(router.push)+actionsボタン(accept/reject+connectionId連携)+一括既読+未読バッジ,src/app/(auth)/notifications/page.tsx,完了,1,v4+v5で段階的改善
137,ユーザー体験,Day 1,プロフィール,表示/編集モード+industry Select(INDUSTRIES)+bio textarea+contact_info(コネクション成立後公開ラベル),src/app/(auth)/profile/page.tsx,完了,1,v2で業種Select化
138,ユーザー体験,Day 1,設定,tl;dv CTA(localStorage dismiss)+通知設定(準備中)+テーマ(準備中),src/app/(auth)/settings/page.tsx,完了,1,v1で「Phase 2」除去
139,ユーザー体験,Day 2+,,新着メンバー+双方向スコア更新,,完了,1,v8で追加
140,ユーザー体験,Day 2+,新着メンバー,ダッシュボードに直近7日の新規登録者(最大6人 カード表示),src/app/(auth)/dashboard/page.tsx,完了,1,リテンション対策
141,ユーザー体験,Day 2+,双方向更新,再ログイン時(sessionStorage未設定)にcompute再実行→新規ユーザー含むスコア更新,src/app/api/v1/matching/compute/route.ts,完了,1,5分レート制限付き
142,セキュリティ,,,認証+入力検証+データ保護+レート制限,,完了,1,v1-v7で段階的強化
143,セキュリティ,認証,,JWT検証+方向チェック+OAuth,,完了,1,
144,セキュリティ,認証,JWT検証,全API RouteでgetUser()(サーバー検証)使用 getSession()不使用,src/lib/api-helpers.ts,完了,1,
145,セキュリティ,認証,方向チェック,accept/reject=connected_user_id(受信者)のみ cancel=user_id(送信者)のみ,src/app/api/v1/connections/[id]/route.ts,完了,1,v1でCritical修正
146,セキュリティ,認証,OAuth,Facebook signInWithOAuth→/auth/callback route.ts→exchangeCodeForSession→/dashboard,src/app/(public)/auth/callback/route.ts,完了,1,
147,セキュリティ,入力検証,,UUID+industry+PostgREST+ユーザー存在,,完了,1,
148,セキュリティ,入力検証,UUID,profiles/[id]でisValidUUID+connections POSTでUUID形式チェック,src/lib/sanitize.ts,完了,1,
149,セキュリティ,入力検証,industry,z.enum(INDUSTRIES)でINDUSTRIES定数(16種)以外を拒否,src/validations/profile.ts,完了,1,v7で追加
150,セキュリティ,入力検証,PostgREST,sanitizeFilterValueで () . " ' \ を除去,src/lib/sanitize.ts,完了,1,
151,セキュリティ,入力検証,ユーザー存在確認,connections POST前にuser_profiles存在+is_active=true確認,src/app/api/v1/connections/route.ts,完了,1,v7で追加
152,セキュリティ,データ保護,,contact_info制御+XSS防止,,完了,1,
153,セキュリティ,データ保護,contact_info,API層でconnections accepted確認→未接続ユーザーにはnull返却,src/app/api/v1/profiles/[id]/route.ts,完了,1,
154,セキュリティ,データ保護,XSS防止,React JSXデフォルトエスケープ dangerouslySetInnerHTML/innerHTML不使用,全コンポーネント,完了,1,
155,セキュリティ,レート制限,,compute API+UNIQUE制約+ユーザー存在,,完了,1,
156,セキュリティ,レート制限,compute API,直近5分以内にcalculated_at存在なら早期リターン(API連打防止),src/app/api/v1/matching/compute/route.ts,完了,1,v7で追加
157,セキュリティ,レート制限,UNIQUE制約,PostgreSQL 23505エラー→handleApiErrorで409 CONFLICT変換,src/lib/api-helpers.ts,完了,1,v4で追加
158,既知のリスクと対策,,,7項目のリスク認識,,認識済み,1-2,
159,既知のリスクと対策,,tl;dv接続率が低い,属性ベース推薦で最低限の価値提供+tl;dv接続促進CTA,ARCHITECTURE.md §7,認識済み,1,
160,既知のリスクと対策,,業種隣接マップが不正確,コネクション承認率データで重み調整予定,ARCHITECTURE.md §7,認識済み,2,仮説値
161,既知のリスクと対策,,テンプレート繰り返し,テンプレート増加(22→40-50種)+上位ペアのみClaude生成,ARCHITECTURE.md §7,認識済み,2,
162,既知のリスクと対策,,Claude分析ハルシネーション,analysis_count≥3でゲート+confidence shrinkage,ARCHITECTURE.md §7,認識済み,1,
163,既知のリスクと対策,,O(n²)スコア計算,is_stale差分+業種フィルタリングでペア数削減,ARCHITECTURE.md §7,認識済み,2,
164,既知のリスクと対策,,短い会議の分析精度,meeting_type分類+短時間会議の重み低減,ARCHITECTURE.md §7,認識済み,2,
165,既知のリスクと対策,,confidence精度限界,Phase 2で meeting_type × duration を加味した品質スコアに拡張,ARCHITECTURE.md §7,認識済み,2,
166,技術スタック,,,9技術の確定構成,,確定,1,
167,技術スタック,,フレームワーク,Next.js 16.2.2 App Router + Turbopack,,確定,1,
168,技術スタック,,UI,shadcn/ui v4 base-nova + Tailwind CSS v4 + oklchカラー(Teal Primary+Terracotta Accent+Warm Gray),,確定,1,
169,技術スタック,,DB,Supabase PostgreSQL + Auth + Realtime + Storage (Pro),,確定,1,
170,技術スタック,,ホスティング,Render Web Service + Worker + Cron (Starter+),,確定,1,
171,技術スタック,,CDN,Cloudflare (Phase 2),,確定,2,
172,技術スタック,,AI分析,Claude Sonnet 4.6 (Anthropic API),,確定,2,
173,技術スタック,,状態管理,Zustand(UIStore/FilterStore) + TanStack Query(サーバーデータ staleTime 60s),,確定,1,
174,技術スタック,,バリデーション,Zod v4 (zod/v4) + @hookform/resolvers/zod,,確定,1,
175,技術スタック,,認証,Email/Password + Facebook OAuth (Supabase Auth) + proxy.ts,,確定,1,
176,UXシミュレーション,,,8ラウンド完了 20+エージェント投入 全P0修正済み,,完了,1,
177,UXシミュレーション,v1,P0 8件,5軸→2軸/ProfileModal/理由エンジン/属性スコア/登録フォーム/方向チェック/CTA/申請ボタン,,完了,1,全修正完了
178,UXシミュレーション,v2,データフロー3件,score_reasons→reasons マッピング/閾値70→0.70/mutual my_reasons,,完了,1,全修正完了
179,UXシミュレーション,v3,計算ロジック3件,shrinkage迂回/Tier3 confidenceガード/compute invalidation,,完了,1,全修正完了
180,UXシミュレーション,v4,認証+エッジ6件,sessionStorage/confirmed/ブックマーク状態/メンバー申請/UNIQUE 409/通知actions,,完了,1,全修正完了
181,UXシミュレーション,v5,3ペルソナ3件,connectionId payload/おすすめ最低閾値0.35/COMPLEMENT_MATRIX拡充,,完了,1,全修正完了
182,UXシミュレーション,v6,視覚+操作5件,ProfileModalブックマーク/重複申請防止Badge/disabled制御/モバイルフィルタ/接続済み表示,,完了,1,全修正完了
183,UXシミュレーション,v7,攻撃テスト4件,compute 5分レート制限/ユーザー存在確認/industry z.enum/23505→409,,完了,1,全修正完了
184,UXシミュレーション,v8,プロダクト2件,双方向compute(A→B+B→A同時)/新着メンバーセクション(直近7日),,完了,1,全修正完了
185,残存LOW,,,8件 MVP許容,,認識済み,2,
186,残存LOW,,tl;dv接続placeholder,「接続する」ボタンが#tldv-connect OAuth実装は別タスク,,認識済み,2,
187,残存LOW,,設定ページ準備中,通知設定/テーマが「準備中」表示,,認識済み,2,
188,残存LOW,,Realtime未実装,通知がポーリング30秒間隔 機能的には動作,,認識済み,2,
189,残存LOW,,自分自身ブックマーク,UIから到達しにくく実害なし,,認識済み,2,
190,残存LOW,,同スコア帯ランダム性なし,DB insertion orderでタイブレーク,,認識済み,2,
191,残存LOW,,通知量Day7+で0-1件,週次メール(Phase 2)で補完予定,,認識済み,2,
192,残存LOW,,メール未確認アクセス,Supabase設定依存 middleware未チェック,,認識済み,2,
193,残存LOW,,useQuery失敗時エラー表示,toast(mutation側)で最低限カバー 空状態表示で代替,,認識済み,2,
